team_id,game_length,fouls_committed,fouls_3q_committed,opp_tib,opp_3q_tib,ft_allowed,ft_3q_allowed,fouls_against,fouls_3q_against,own_tib,own_3q_tib,ft_gained,ft_3q_gained,win,opp_percent_tib,own_percent_tib,opp_percent_3q_tib,own_percent_3q_tib,game_id,off_points_p,off_poss_p,off_tov_p,def_points_p,def_poss_p,def_tov_p,off_points_np,off_poss_np,off_tov_np,def_points_np,def_poss_np,def_tov_np
1610612739,2880,19,14,797,657,4,2,19,10,571,104,10,2,1,0.2767361111111111,0.19826388888888888,0.30416666666666664,0.04814814814814815,0021600001,31,22.17472,3,25,29.43616,4,86,80.65664,11,63,68.94463999999999,14
1610612752,2880,19,10,571,104,10,2,19,14,797,657,4,2,0,0.19826388888888888,0.2767361111111111,0.04814814814814815,0.30416666666666664,0021600001,25,29.43616,4,31,22.17472,3,63,68.94463999999999,14,86,80.65664,11
1610612757,2880,18,12,767,492,2,0,18,11,761,475,6,2,1,0.26631944444444444,0.2642361111111111,0.22777777777777777,0.2199074074074074,0021600002,33,22.72128,4,23,26.97664,3,80,66.7584,8,81,64.8064,8
1610612762,2880,18,11,761,475,6,2,18,12,767,492,2,0,0,0.2642361111111111,0.26631944444444444,0.2199074074074074,0.22777777777777777,0021600002,23,26.97664,3,33,22.72128,4,81,64.8064,8,80,66.7584,8
1610612744,2880,18,14,1164,715,8,8,19,10,801,290,4,0,0,0.4041666666666667,0.278125,0.33101851851851855,0.13425925925925927,0021600003,32,27.7184,4,62,45.59872,6,68,70.77952,12,67,53.40672,7
1610612759,2880,19,10,801,290,4,0,18,14,1164,715,8,8,1,0.278125,0.4041666666666667,0.13425925925925927,0.33101851851851855,0021600003,62,45.59872,6,32,27.7184,4,67,53.40672,7,68,70.77952,12
1610612753,2880,14,11,370,269,2,2,22,17,691,381,4,2,0,0.1284722222222222,0.23993055555555556,0.12453703703703704,0.1763888888888889,0021600004,34,26.07872,3,15,14.522879999999999,0,62,68.9056,8,93,81.16416,10
1610612748,2880,22,17,691,381,4,2,14,11,370,269,2,2,1,0.23993055555555556,0.1284722222222222,0.1763888888888889,0.12453703703703704,0021600004,15,14.522879999999999,0,34,26.07872,3,93,81.16416,10,62,68.9056,8
1610612754,3180,21,16,842,768,2,2,26,17,1046,927,14,8,1,0.2647798742138365,0.3289308176100629,0.35555555555555557,0.42916666666666664,0021600005,52,40.48448,3,42,31.73952,3,78,72.69248,13,79,82.3744,12
1610612742,3180,26,17,1046,927,14,8,21,16,842,768,2,2,0,0.3289308176100629,0.2647798742138365,0.42916666666666664,0.35555555555555557,0021600005,42,31.73952,3,52,40.48448,3,79,82.3744,12,78,72.69248,13
1610612738,2880,19,14,879,609,2,2,18,13,249,236,6,4,1,0.30520833333333336,0.08645833333333333,0.28194444444444444,0.10925925925925926,0021600006,16,13.50784,2,56,39.31328,6,106,87.91808,17,61,64.92352,10
1610612751,2880,18,13,249,236,6,4,19,14,879,609,2,2,0,0.08645833333333333,0.30520833333333336,0.10925925925925926,0.28194444444444444,0021600006,56,39.31328,6,16,13.50784,2,61,64.92352,10,106,87.91808,17
1610612761,2880,21,14,941,584,4,4,22,17,1292,920,4,4,1,0.3267361111111111,0.4486111111111111,0.27037037037037037,0.42592592592592593,0021600007,58,42.98304,4,28,31.93472,3,51,50.47872,7,63,64.37696,10
1610612765,2880,22,17,1292,920,4,4,21,14,941,584,4,4,0,0.4486111111111111,0.3267361111111111,0.42592592592592593,0.27037037037037037,0021600007,28,31.93472,3,58,42.98304,4,63,64.37696,10,51,50.47872,7
1610612749,2880,22,16,1479,1223,8,4,19,14,733,656,0,0,0,0.5135416666666667,0.2545138888888889,0.5662037037037037,0.3037037037037037,0021600008,23,17.099520000000002,0,54,48.4096,7,73,79.32928,8,53,47.78496,3
1610612766,2880,19,14,733,656,0,0,22,16,1479,1223,8,4,1,0.2545138888888889,0.5135416666666667,0.3037037037037037,0.5662037037037037,0021600008,54,48.4096,7,23,17.099520000000002,0,53,47.78496,3,73,79.32928,8
1610612763,2880,23,17,936,850,10,10,22,13,1200,706,10,4,1,0.325,0.4166666666666667,0.39351851851851855,0.32685185185185184,0021600009,41,38.96192,6,39,34.08192,2,61,52.66496,7,59,57.42784,8
1610612750,2880,22,13,1200,706,10,4,23,17,936,850,10,10,0,0.4166666666666667,0.325,0.32685185185185184,0.39351851851851855,0021600009,39,34.08192,2,41,38.96192,6,59,57.42784,8,61,52.66496,7
1610612740,2880,29,20,1032,831,16,10,20,15,836,616,4,2,0,0.35833333333333334,0.2902777777777778,0.38472222222222224,0.2851851851851852,0021600010,34,33.34016,4,43,42.39744,6,68,73.47327999999999,7,64,65.47008,18
1610612743,2880,20,15,836,616,4,2,29,20,1032,831,16,10,1,0.2902777777777778,0.35833333333333334,0.2851851851851852,0.38472222222222224,0021600010,43,42.39744,6,34,33.34016,4,64,65.47008,18,68,73.47327999999999,7
1610612755,2880,22,14,820,551,6,2,21,14,1089,668,4,2,0,0.2847222222222222,0.378125,0.2550925925925926,0.30925925925925923,0021600011,45,40.6016,4,39,31.38816,5,52,59.9264,9,64,68.59328000000001,5
1610612760,2880,21,14,1089,668,4,2,22,14,820,551,6,2,1,0.378125,0.2847222222222222,0.30925925925925923,0.2550925925925926,0021600011,39,31.38816,5,45,40.6016,4,64,68.59328000000001,5,52,59.9264,9
1610612756,2880,28,21,1360,1065,10,4,19,13,669,482,2,2,0,0.4722222222222222,0.23229166666666667,0.4930555555555556,0.22314814814814815,0021600012,33,24.24384,4,66,47.74592,4,61,71.28703999999999,15,47,50.283519999999996,9
1610612758,2880,19,13,669,482,2,2,28,21,1360,1065,10,4,1,0.23229166666666667,0.4722222222222222,0.22314814814814815,0.4930555555555556,0021600012,66,47.74592,4,33,24.24384,4,47,50.283519999999996,9,61,71.28703999999999,15
1610612747,2880,22,16,679,412,6,2,20,13,938,427,2,0,1,0.23576388888888888,0.32569444444444445,0.19074074074074074,0.19768518518518519,0021600013,40,36.619519999999994,7,30,26.9376,4,80,63.59616,8,84,72.49728,10
1610612745,2880,20,13,938,427,2,0,22,16,679,412,6,2,0,0.32569444444444445,0.23576388888888888,0.19768518518518519,0.19074074074074074,0021600013,30,26.9376,4,40,36.619519999999994,7,84,72.49728,10,80,63.59616,8
1610612737,2880,18,14,684,567,6,6,17,14,538,538,2,2,1,0.2375,0.18680555555555556,0.2625,0.2490740740740741,0021600014,30,20.886400000000002,3,28,27.171840000000003,3,84,79.56352,18,71,79.13408,16
1610612764,2880,17,14,538,538,2,2,18,14,684,567,6,6,0,0.18680555555555556,0.2375,0.2490740740740741,0.2625,0021600014,28,27.171840000000003,3,30,20.886400000000002,3,71,79.13408,16,84,79.56352,18
1610612741,2880,21,13,723,311,0,0,24,18,1205,876,10,6,1,0.25104166666666666,0.4184027777777778,0.1439814814814815,0.40555555555555556,0021600015,47,45.4816,8,29,28.03072,3,60,52.3136,4,70,64.25984,8
1610612738,2880,24,18,1205,876,10,6,21,13,723,311,0,0,0,0.4184027777777778,0.25104166666666666,0.40555555555555556,0.1439814814814815,0021600015,29,28.03072,3,47,45.4816,8,70,64.25984,8,60,52.3136,4
1610612758,2880,20,14,706,352,4,0,26,20,965,621,10,8,0,0.24513888888888888,0.3350694444444444,0.16296296296296298,0.2875,0021600016,32,33.73056,4,34,21.19872,1,62,59.69216,11,68,67.50016,8
1610612759,2880,26,20,965,621,10,8,20,14,706,352,4,0,1,0.3350694444444444,0.24513888888888888,0.2875,0.16296296296296298,0021600016,34,21.19872,1,32,33.73056,4,68,67.50016,8,62,59.69216,11
1610612757,2880,34,19,1311,881,18,6,24,16,855,670,14,8,0,0.4552083333333333,0.296875,0.4078703703703704,0.3101851851851852,0021600017,36,34.394239999999996,3,63,49.73696,4,70,67.18784,11,51,51.025279999999995,3
1610612746,2880,24,16,855,670,14,8,34,19,1311,881,18,6,1,0.296875,0.4552083333333333,0.3101851851851852,0.4078703703703704,0021600017,63,49.73696,4,36,34.394239999999996,3,51,51.025279999999995,3,70,67.18784,11
1610612761,2880,17,12,613,466,2,2,14,6,482,114,2,0,0,0.21284722222222222,0.1673611111111111,0.21574074074074073,0.05277777777777778,0021600018,18,18.38784,1,25,23.58016,3,73,77.18208,17,69,70.77951999999999,14
1610612739,2880,14,6,482,114,2,0,17,12,613,466,2,2,1,0.1673611111111111,0.21284722222222222,0.05277777777777778,0.21574074074074073,0021600018,25,23.58016,3,18,18.38784,1,69,70.77951999999999,14,73,77.18208,17
1610612751,2880,20,16,939,849,8,8,21,12,1025,464,4,0,1,0.3260416666666667,0.3559027777777778,0.39305555555555555,0.21481481481481482,0021600019,40,34.979839999999996,2,27,34.979839999999996,5,63,62.42496,14,67,68.28096,8
1610612754,2880,21,12,1025,464,4,0,20,16,939,849,8,8,0,0.3559027777777778,0.3260416666666667,0.21481481481481482,0.39305555555555555,0021600019,27,34.979839999999996,5,40,34.979839999999996,2,67,68.28096,8,63,62.42496,14
1610612765,2880,10,6,282,194,0,0,13,9,59,35,0,0,1,0.09791666666666667,0.02048611111111111,0.08981481481481482,0.016203703703703703,0021600020,5,2.928,1,7,10.50176,2,103,95.29664,11,75,82.49152,7
