team_id,game_length,fouls_committed,fouls_3q_committed,opp_tib,opp_3q_tib,ft_allowed,ft_3q_allowed,fouls_against,fouls_3q_against,own_tib,own_3q_tib,ft_gained,ft_3q_gained,win,opp_percent_tib,own_percent_tib,opp_percent_3q_tib,own_percent_3q_tib,game_id,off_points_p,off_poss_p,def_points_p,def_poss_p,off_points_np,off_poss_np,def_points_np,def_poss_np
1610612757,2880,18,12,733,544,6,2,15,10,729,330,0,0,0,0.2545138888888889,0.253125,0.2518518518518518,0.1527777777777778,0022000020,26,25.883519999999997,32,26.31296,74,71.20895999999999,88,72.61439999999999
1610612762,2880,15,10,729,330,0,0,18,12,733,544,6,2,1,0.253125,0.2545138888888889,0.1527777777777778,0.2518518518518518,0022000020,32,26.31296,26,25.883519999999997,88,72.61439999999999,74,71.20895999999999
1610612756,2880,23,19,1085,969,8,8,20,14,1150,969,6,4,1,0.3767361111111111,0.3993055555555556,0.4486111111111111,0.4486111111111111,0022000004,46,41.26528,40,39.6256,60,59.145599999999995,64,60.35584
1610612742,2880,20,14,1150,969,6,4,23,19,1085,969,8,8,0,0.3993055555555556,0.3767361111111111,0.4486111111111111,0.4486111111111111,0022000004,40,39.6256,46,41.26528,64,60.35584,60,59.145599999999995
1610612748,2880,23,18,872,686,0,0,18,11,650,200,2,2,1,0.30277777777777776,0.22569444444444445,0.3175925925925926,0.09259259259259259,0022000005,31,21.74528,44,33.34016,80,74.01983999999999,54,64.76736
1610612740,2880,18,11,650,200,2,2,23,18,872,686,0,0,0,0.22569444444444445,0.30277777777777776,0.09259259259259259,0.3175925925925926,0022000005,44,33.34016,31,21.74528,54,64.76736,80,74.01983999999999
1610612749,2880,14,9,610,304,2,0,19,17,1043,1043,4,4,1,0.21180555555555555,0.36215277777777777,0.14074074074074075,0.4828703703703704,0022000006,49,39.85984,26,24.67328,89,65.0016,73,83.66272
1610612744,2880,19,17,1043,1043,4,4,14,9,610,304,2,0,0,0.36215277777777777,0.21180555555555555,0.4828703703703704,0.14074074074074075,0022000006,26,24.67328,49,39.85984,73,83.66272,89,65.0016
1610612738,2880,24,18,1287,951,8,6,20,16,763,690,8,8,0,0.446875,0.26493055555555556,0.44027777777777777,0.3194444444444444,0022000007,28,28.46016,61,42.436479999999996,67,70.46719999999999,65,51.884159999999994
1610612751,2880,20,16,763,690,8,8,24,18,1287,951,8,6,1,0.26493055555555556,0.446875,0.3194444444444444,0.44027777777777777,0022000007,61,42.436479999999996,28,28.46016,65,51.884159999999994,67,70.46719999999999
